ts_event,open,high,low,close,volume
2022-04-22 18:00:00+00:00,428.74,429.98,426.82,427.465,2570350
2022-04-22 19:00:00+00:00,427.47,430.41,425.45,426.09,8222638
2022-04-22 20:00:00+00:00,426.09,426.24,423.95,424.38,1289583
2022-04-22 21:00:00+00:00,424.44,424.75,424.25,424.37,87397
2022-04-22 22:00:00+00:00,424.37,424.45,424.17,424.2,6902
2022-04-22 23:00:00+00:00,424.23,424.26,424.1,424.23,4379
2022-04-25 08:00:00+00:00,422.36,423.68,421.21,421.77,19992
2022-04-25 09:00:00+00:00,421.72,422.92,421.15,422.25,37848
2022-04-25 10:00:00+00:00,422.26,422.65,421.84,422.57,9509
2022-04-25 11:00:00+00:00,422.62,423.5,421.45,422.74,122230
2022-04-25 12:00:00+00:00,422.66,424.6,422.21,424.54,135458
2022-04-25 13:00:00+00:00,424.48,424.69,420.28,420.29,2533330
2022-04-25 14:00:00+00:00,420.3,424.39,420.0,420.71,3202707
2022-04-25 15:00:00+00:00,420.71,422.19,418.84,419.77,2588819
2022-04-25 16:00:00+00:00,419.76,423.27,419.17,422.04,2350114
2022-04-25 17:00:00+00:00,422.07,423.79,420.98,422.49,2021857
2022-04-25 18:00:00+00:00,422.5,426.76,421.75,425.51,2508014
2022-04-25 19:00:00+00:00,425.49,428.69,423.85,428.5,5726367
2022-04-25 20:00:00+00:00,428.49,428.92,428.05,428.65,592770
2022-04-25 21:00:00+00:00,428.61,428.65,428.38,428.48,6311
2022-04-25 22:00:00+00:00,428.48,428.48,428.06,428.44,14849
2022-04-25 23:00:00+00:00,428.46,428.67,428.2,428.34,6624
2022-04-26 08:00:00+00:00,426.52,427.79,426.47,427.75,7739
2022-04-26 09:00:00+00:00,427.85,428.05,427.12,427.62,6275
2022-04-26 10:00:00+00:00,427.48,427.82,427.0,427.03,6874
2022-04-26 11:00:00+00:00,426.89,427.14,426.4,427.13,19542
2022-04-26 12:00:00+00:00,427.14,427.2,425.92,426.53,67877
2022-04-26 13:00:00+00:00,426.55,426.55,423.435,423.86,2121327
2022-04-26 14:00:00+00:00,423.85,424.64,420.49,421.07,2637181
2022-04-26 15:00:00+00:00,421.06,421.55,419.42,419.45,2054774
2022-04-26 16:00:00+00:00,419.46,422.33,419.44,422.225,1645995
2022-04-26 17:00:00+00:00,422.23,422.27,418.74,419.42,1686081
2022-04-26 18:00:00+00:00,419.41,421.0,419.02,420.74,1724866
2022-04-26 19:00:00+00:00,420.72,421.22,416.07,416.11,5576515
2022-04-26 20:00:00+00:00,416.11,416.98,413.0,413.29,904608
2022-04-26 21:00:00+00:00,413.41,414.5,413.35,414.5,32207
2022-04-26 22:00:00+00:00,414.62,417.01,414.3,416.0,96079
2022-04-26 23:00:00+00:00,415.96,416.96,415.96,416.66,10563
2022-04-27 08:00:00+00:00,420.22,420.97,419.27,419.89,52625
2022-04-27 09:00:00+00:00,419.7,420.51,419.62,420.42,35672
2022-04-27 10:00:00+00:00,420.45,420.76,419.52,420.42,39443
2022-04-27 11:00:00+00:00,420.41,420.41,417.5,417.94,69100
2022-04-27 12:00:00+00:00,418.04,419.04,417.46,417.89,85211
2022-04-27 13:00:00+00:00,418.0,422.02,416.78,420.74,2301184
2022-04-27 14:00:00+00:00,420.76,421.76,415.02,418.01,3057356
2022-04-27 15:00:00+00:00,418.03,420.99,417.72,419.69,2222193
2022-04-27 16:00:00+00:00,419.68,422.92,418.74,422.05,1824958
2022-04-27 17:00:00+00:00,422.06,422.34,419.65,421.92,1902978
2022-04-27 18:00:00+00:00,421.91,421.96,418.31,418.705,1213157
2022-04-27 19:00:00+00:00,418.71,419.0,416.54,417.25,4530172
2022-04-27 20:00:00+00:00,417.25,420.85,416.86,420.44,653514
2022-04-27 21:00:00+00:00,420.46,420.57,420.08,420.51,46101
2022-04-27 22:00:00+00:00,420.57,420.88,420.19,420.36,24793
2022-04-27 23:00:00+00:00,420.07,420.75,420.07,420.59,4016
2022-04-28 08:00:00+00:00,423.16,424.78,423.16,424.78,19005
2022-04-28 09:00:00+00:00,425.0,425.04,423.65,423.83,34521
2022-04-28 10:00:00+00:00,423.82,424.04,422.72,422.92,48837
2022-04-28 11:00:00+00:00,423.11,424.16,422.86,423.03,129391
2022-04-28 12:00:00+00:00,423.08,423.27,421.4,421.79,252121
2022-04-28 13:00:00+00:00,421.79,423.07,419.57,420.46,1814700
2022-04-28 14:00:00+00:00,420.44,420.68,417.61,419.29,2365964
2022-04-28 15:00:00+00:00,419.3,421.35,419.09,420.52,1647808
2022-04-28 16:00:00+00:00,420.53,425.8,420.02,425.59,1765979
2022-04-28 17:00:00+00:00,425.59,427.62,425.23,427.17,1552357
2022-04-28 18:00:00+00:00,427.16,429.19,426.72,428.65,1370308
2022-04-28 19:00:00+00:00,428.65,429.63,426.38,427.79,4553346
2022-04-28 20:00:00+00:00,427.78,428.09,424.7,425.32,797463
2022-04-28 21:00:00+00:00,425.39,425.49,421.98,423.55,102859
2022-04-28 22:00:00+00:00,423.63,424.53,422.96,423.8,31469
2022-04-28 23:00:00+00:00,423.86,424.15,423.66,423.91,23478
2022-04-29 08:00:00+00:00,426.07,426.41,425.4,425.47,3867
2022-04-29 09:00:00+00:00,425.32,425.47,424.41,424.49,13384
2022-04-29 10:00:00+00:00,424.97,425.15,423.5,423.74,38005
2022-04-29 11:00:00+00:00,423.74,424.2,423.01,423.37,44466
2022-04-29 12:00:00+00:00,423.5,424.85,423.15,423.56,95647
2022-04-29 13:00:00+00:00,423.51,425.87,422.37,425.71,1886485
2022-04-29 14:00:00+00:00,425.71,425.86,419.94,420.75,2538311
